Date,Dividends
11/5/2015,0.042
10/7/2015,0.042
9/3/2015,0.042
8/7/2015,0.042
7/10/2015,0.042
6/4/2015,0.042
5/7/2015,0.042
4/9/2015,0.042
3/5/2015,0.083
2/5/2015,0.083
1/9/2015,0.083
12/4/2014,0.173
11/6/2014,0.168
10/8/2014,0.168
9/4/2014,0.168
8/7/2014,0.168
7/9/2014,0.168
6/5/2014,0.166
5/1/2014,0.166
4/9/2014,0.166
3/6/2014,0.164
2/6/2014,0.164
1/9/2014,0.164
11/6/2013,0.487
8/8/2013,0.48
5/2/2013,0.475
2/7/2013,0.47
11/7/2012,0.465
8/8/2012,0.46
5/3/2012,0.455
2/2/2012,0.45
11/7/2011,0.435
8/5/2011,0.423
5/6/2011,0.418
2/4/2011,0.413
11/5/2010,0.39
8/5/2010,0.383
5/6/2010,0.375
2/5/2009,0.52
11/6/2008,0.52
8/7/2008,0.52
5/7/2008,0.5
2/7/2008,0.453
11/7/2007,0.443
8/3/2007,0.423
5/3/2007,0.413
2/1/2007,0.399
