Date,Open,High,Low,Close,Volume,Adj Close
11/23/2015,2.03,2.12,2.01,2.01,1335400,2.01
11/20/2015,2.06,2.1,1.99,2.05,1913000,2.05
11/19/2015,2.08,2.1,2.02,2.05,1604400,2.05
11/18/2015,2.13,2.2,2.01,2.13,2332400,2.13
11/17/2015,2.2,2.2,2.09,2.13,1525400,2.13
11/16/2015,2.24,2.29,2.16,2.2,1984500,2.2
11/13/2015,2.22,2.24,2.06,2.23,1707700,2.23
11/12/2015,2.14,2.27,2.09,2.12,1540400,2.12
11/11/2015,2.21,2.23,2.1,2.15,1630900,2.15
11/10/2015,2.29,2.39,2.23,2.23,1105700,2.23
11/9/2015,2.39,2.4,2.3,2.3,1258900,2.3
11/6/2015,2.57,2.57,2.31,2.42,1750800,2.42
11/5/2015,2.65,2.67,2.41,2.53,4434800,2.53
11/4/2015,2.53,2.62,2.48,2.51,1984900,2.468
11/3/2015,2.42,2.55,2.42,2.53,1846300,2.487665
11/2/2015,2.3,2.49,2.21,2.4,1820200,2.359841
10/30/2015,2.18,2.35,2.18,2.29,1010800,2.251681
10/29/2015,2.29,2.39,2.15,2.21,1277900,2.17302
10/28/2015,2.1,2.45,2.09,2.32,1482900,2.281179
10/27/2015,2.18,2.23,2.04,2.08,2156000,2.045195
10/26/2015,2.36,2.39,2.21,2.22,1340500,2.182853
10/23/2015,2.45,2.45,2.36,2.37,1213100,2.330343
10/22/2015,2.48,2.52,2.42,2.47,1030000,2.428669
10/21/2015,2.49,2.57,2.47,2.48,1094900,2.438502
10/20/2015,2.51,2.63,2.51,2.52,783900,2.477833
10/19/2015,2.48,2.65,2.46,2.48,1169100,2.438502
10/16/2015,2.58,2.6,2.5,2.5,1587000,2.458167
10/15/2015,2.43,2.59,2.37,2.51,1123500,2.468
10/14/2015,2.53,2.6,2.38,2.46,1367500,2.418837
10/13/2015,2.59,2.74,2.53,2.56,959400,2.517163
10/12/2015,2.78,2.78,2.5,2.6,1336900,2.556494
10/9/2015,2.86,2.95,2.75,2.78,1518600,2.733482
10/8/2015,2.72,2.8,2.62,2.79,1619800,2.743315
10/7/2015,2.85,2.92,2.68,2.75,2910500,2.703984
10/6/2015,2.37,2.74,2.36,2.7,3527100,2.613524
10/5/2015,2.2,2.38,2.2,2.37,1890800,2.294093
10/2/2015,1.98,2.18,1.92,2.17,2042700,2.100499
10/1/2015,2.06,2.09,1.92,1.97,2337500,1.906904
9/30/2015,2.08,2.1,1.95,2.03,3194300,1.964982
9/29/2015,2.22,2.26,2.05,2.05,2614700,1.984342
9/28/2015,2.38,2.4,2.18,2.2,1670100,2.129538
9/25/2015,2.38,2.43,2.34,2.4,1183300,2.323132
9/24/2015,2.42,2.51,2.32,2.36,1950800,2.284413
9/23/2015,2.48,2.58,2.4,2.45,1382800,2.371531
9/22/2015,2.5,2.57,2.41,2.44,1205800,2.361851
9/21/2015,2.6,2.6,2.5,2.57,981000,2.487687
9/18/2015,2.62,2.64,2.48,2.54,1284300,2.458648
9/17/2015,2.64,2.74,2.58,2.67,1236300,2.584484
9/16/2015,2.43,2.65,2.43,2.6,2133000,2.516726
9/15/2015,2.37,2.44,2.36,2.4,2457900,2.323132
9/14/2015,2.48,2.54,2.35,2.37,1261900,2.294093
9/11/2015,2.68,2.71,2.43,2.49,1945600,2.410249
9/10/2015,2.65,2.76,2.58,2.68,1159400,2.594164
9/9/2015,2.76,2.87,2.63,2.67,1675100,2.584484
9/8/2015,2.63,2.86,2.63,2.78,1758200,2.690961
9/4/2015,2.64,2.74,2.56,2.69,984000,2.603844
9/3/2015,2.69,2.78,2.62,2.65,1529700,2.565125
9/2/2015,2.78,2.78,2.63,2.69,1612100,2.563189
9/1/2015,2.8,2.82,2.66,2.66,2264800,2.534603
8/31/2015,2.83,2.98,2.6,2.87,2649000,2.734703
8/28/2015,2.66,3.01,2.65,2.9,4425900,2.763289
8/27/2015,2.58,2.74,2.56,2.63,3160600,2.506018
8/26/2015,2.36,2.52,2.26,2.5,1964700,2.382146
8/25/2015,2.49,2.52,2.25,2.31,2229600,2.201103
8/24/2015,2.19,2.33,2.02,2.21,2214800,2.105817
8/21/2015,2.23,2.36,2.22,2.25,3033700,2.143931
8/20/2015,2.3,2.48,2.22,2.26,2258700,2.15346
8/19/2015,2.54,2.54,2.25,2.36,3198300,2.248746
8/18/2015,2.59,2.6,2.43,2.54,2377600,2.42026
8/17/2015,2.7,2.76,2.58,2.59,1892000,2.467903
8/14/2015,2.97,2.97,2.7,2.76,1647800,2.629889
8/13/2015,3.07,3.07,2.8,2.85,2028600,2.715646
8/12/2015,3.04,3.15,2.93,2.99,2119400,2.849046
8/11/2015,3.05,3.15,3,3.05,1403400,2.906218
8/10/2015,3.11,3.21,3,3.12,2162100,2.972918
8/7/2015,3.1,3.4,2.8,3.04,2830600,2.896689
8/6/2015,2.6,3.15,2.54,3.13,4097600,2.942427
8/5/2015,2.78,2.83,2.6,2.64,2228300,2.481791
8/4/2015,2.64,2.96,2.62,2.69,2156300,2.528795
8/3/2015,3.02,3.02,2.55,2.59,3936000,2.434787
7/31/2015,3.3,3.3,3,3.03,2422500,2.848419
7/30/2015,3.79,3.79,3.28,3.29,2731000,3.092838
7/29/2015,3.47,3.87,3.36,3.83,2550900,3.600477
7/28/2015,3.24,3.43,3.22,3.41,1780100,3.205647
7/27/2015,3.1,3.33,3.04,3.2,2185400,3.008232
7/24/2015,3.12,3.21,3.05,3.15,1635100,2.961228
7/23/2015,3.08,3.3,3.02,3.08,2451300,2.895423
7/22/2015,3.12,3.43,3.01,3.05,2790000,2.867221
7/21/2015,2.96,3.37,2.91,3.19,3416300,2.998831
7/20/2015,3.36,3.37,2.8,2.94,5227400,2.763813
7/17/2015,3.71,3.74,3.32,3.35,3385600,3.149243
7/16/2015,3.92,3.97,3.6,3.67,3389900,3.450066
7/15/2015,4.03,4.04,3.86,3.92,2472800,3.685084
7/14/2015,3.85,4.05,3.77,4.05,2116200,3.807293
7/13/2015,4.2,4.21,3.78,3.84,4725700,3.609878
7/10/2015,4.37,4.41,4.15,4.18,1449700,3.929503
7/9/2015,4.3,4.47,4.3,4.41,1905900,4.106236
7/8/2015,4.32,4.45,4.09,4.24,2013900,3.947946
7/7/2015,4.43,4.5,4.21,4.39,2124900,4.087614
7/6/2015,4.39,4.54,4.2,4.47,2189500,4.162103
7/2/2015,4.55,4.65,4.45,4.52,1623500,4.208659
7/1/2015,4.76,4.76,4.55,4.55,1252600,4.236593
6/30/2015,4.58,4.76,4.57,4.76,1543500,4.432128
6/29/2015,4.61,4.85,4.55,4.56,3121400,4.245904
6/26/2015,5,5.01,4.67,4.72,3940500,4.394883
6/25/2015,5.2,5.25,5,5.04,2039000,4.692841
6/24/2015,5.35,5.39,5.2,5.2,1176900,4.84182
6/23/2015,5.22,5.38,5.22,5.34,1289900,4.972177
6/22/2015,5.3,5.35,5.21,5.24,1133500,4.879065
6/19/2015,5.31,5.36,5.24,5.24,5721500,4.879065
6/18/2015,5.5,5.54,5.34,5.34,1103900,4.972177
6/17/2015,5.52,5.58,5.47,5.47,1493600,5.093223
6/16/2015,5.48,5.52,5.35,5.48,1147200,5.102534
6/15/2015,5.34,5.47,5.26,5.47,1293500,5.093223
6/12/2015,5.45,5.5,5.31,5.34,1413300,4.972177
6/11/2015,5.47,5.52,5.39,5.43,1068500,5.055978
6/10/2015,5.53,5.72,5.41,5.44,1941500,5.065289
6/9/2015,5.59,5.78,5.41,5.41,1570900,5.037355
6/8/2015,5.5,5.74,5.37,5.53,1334400,5.14909
6/5/2015,5.39,5.56,5.32,5.53,1831000,5.14909
6/4/2015,5.3,5.42,5.27,5.3,1419200,4.934933
6/3/2015,5.33,5.45,5.3,5.36,1134700,4.951693
6/2/2015,5.34,5.48,5.27,5.31,4832500,4.905501
6/1/2015,5.37,5.45,5.28,5.32,1122200,4.91474
5/29/2015,5.2,5.44,5.2,5.32,2358500,4.91474
5/28/2015,5.4,5.4,5.15,5.3,2815100,4.896263
5/27/2015,5.72,5.73,5.42,5.43,1986600,5.01636
5/26/2015,5.66,5.75,5.52,5.74,1394800,5.302745
5/22/2015,5.78,5.82,5.71,5.76,604200,5.321222
5/21/2015,5.74,5.93,5.72,5.81,1029600,5.367413
5/20/2015,5.84,5.85,5.69,5.71,1288900,5.275031
5/19/2015,5.98,5.98,5.82,5.82,1543700,5.376651
5/18/2015,6.11,6.15,6.01,6.06,889100,5.598369
5/15/2015,6.02,6.1,5.82,6.09,1740400,5.626084
5/14/2015,6.12,6.23,6,6.02,1508100,5.561416
5/13/2015,6.33,6.37,6.11,6.14,1526700,5.672275
5/12/2015,6.24,6.38,6.2,6.31,1029700,5.829325
5/11/2015,6.23,6.39,6.2,6.22,1474800,5.74618
5/8/2015,6.46,6.49,6.3,6.34,1305600,5.857039
5/7/2015,6.53,6.56,6.2,6.4,2111500,5.912469
5/6/2015,6.8,6.84,6.55,6.58,2365400,6.039956
5/5/2015,6.79,6.87,6.4,6.55,2094400,6.012419
5/4/2015,6.6,6.67,6.55,6.62,1112500,6.076673
5/1/2015,6.58,6.61,6.41,6.6,1081000,6.058315
4/30/2015,6.45,6.7,6.44,6.55,2030800,6.012419
4/29/2015,6.29,6.6,6.21,6.42,1605900,5.893088
4/28/2015,6.25,6.35,6.19,6.3,1082100,5.782937
4/27/2015,6.25,6.38,6.17,6.21,1678800,5.700324
4/24/2015,6.29,6.35,6.18,6.23,1613000,5.718682
4/23/2015,6.39,6.41,6.2,6.29,1948400,5.773758
4/22/2015,6.5,6.64,6.31,6.4,1558000,5.87473
4/21/2015,6.6,6.68,6.39,6.5,2192800,5.966522
4/20/2015,6.4,6.65,6.35,6.55,2113300,6.012419
4/17/2015,6.4,6.51,6.25,6.28,1491300,5.764579
4/16/2015,6.3,6.58,6.2,6.4,2394600,5.87473
4/15/2015,6.45,6.7,6.23,6.32,4783900,5.801296
4/14/2015,5.71,6.39,5.71,6.36,4490200,5.838013
4/13/2015,5.63,5.74,5.56,5.68,1499800,5.213822
4/10/2015,5.55,5.75,5.46,5.6,1788900,5.140388
4/9/2015,5.61,5.71,5.5,5.55,1820900,5.094492
4/8/2015,5.7,5.87,5.59,5.62,1773500,5.120194
4/7/2015,5.77,5.95,5.71,5.77,2206900,5.256854
4/6/2015,5.94,5.96,5.7,5.77,2378000,5.256854
4/2/2015,5.45,5.79,5.43,5.78,3132700,5.265965
4/1/2015,5.39,5.64,5.39,5.46,1859100,4.974423
3/31/2015,5.38,5.64,5.38,5.48,2368400,4.992645
3/30/2015,5.57,5.81,5.15,5.55,6508900,5.056419
3/27/2015,6.07,6.12,5.85,5.9,2110000,5.375293
3/26/2015,6.28,6.4,6.05,6.16,1797700,5.61217
3/25/2015,6.1,6.31,5.95,6.15,2885400,5.603059
3/24/2015,6.29,6.38,6.21,6.24,1580700,5.685055
3/23/2015,6.11,6.42,5.98,6.22,1541000,5.666834
3/20/2015,6.13,6.3,5.98,6.01,3367200,5.47551
3/19/2015,6,6.25,5.93,5.99,1999600,5.457288
3/18/2015,5.71,6.43,5.59,6.24,2491300,5.685055
3/17/2015,5.75,5.83,5.52,5.79,2374900,5.275075
3/16/2015,6.1,6.18,5.78,5.79,3763900,5.275075
