Ex/Eff Date,Type,Cash Amount,Declaration Date,Record Date,Payment Date
11/5/15,Cash,0.04166,10/29/15,11/9/15,11/13/15
10/7/15,Cash,0.04166,10/1/15,10/12/15,10/16/15
9/3/15,Cash,0.04166,8/27/15,9/8/15,9/11/15
8/7/15,Cash,0.04166,7/31/15,8/11/15,8/14/15
7/10/15,Cash,0.04166,--,7/14/15,7/17/15
6/4/15,Cash,0.04166,5/28/15,6/8/15,6/12/15
5/7/15,Cash,0.04166,4/24/15,5/11/15,5/15/15
4/9/15,Cash,0.04166,4/1/15,4/13/15,4/17/15
3/5/15,Cash,0.0833,2/24/15,3/9/15,3/13/15
2/5/15,Cash,0.0833,1/27/15,2/9/15,2/13/15
1/9/15,Cash,0.0833,1/2/15,1/13/15,1/16/15
12/4/14,Cash,0.1733,11/19/14,12/8/14,12/12/14
11/6/14,Cash,0.1675,10/29/14,11/10/14,11/14/14
10/8/14,Cash,0.1675,10/1/14,10/13/14,10/16/14
9/4/14,Cash,0.1675,8/26/14,9/8/14,9/11/14
8/7/14,Cash,0.1675,7/30/14,8/11/14,8/14/14
7/9/14,Cash,0.1675,7/1/14,7/11/14,7/16/14
6/5/14,Cash,0.1658,5/28/14,6/9/14,6/12/14
5/1/14,Cash,0.1658,4/24/14,5/5/14,5/14/14
4/9/14,Cash,0.1658,4/2/14,4/11/14,4/16/14
3/6/14,Cash,0.1642,2/26/14,3/10/14,3/14/14
2/6/14,Cash,0.1642,1/30/14,2/10/14,2/14/14
1/9/14,Cash,0.1642,1/2/14,1/13/14,1/16/14
11/6/13,Cash,0.4875,10/30/13,11/11/13,11/14/13
8/8/13,Cash,0.48,7/31/13,8/12/13,8/14/13
5/2/13,Cash,0.475,4/24/13,5/6/13,5/14/13
2/7/13,Cash,0.47,1/28/13,2/11/13,2/14/13
11/7/12,Cash,0.465,10/30/12,11/9/12,11/14/12
8/8/12,Cash,0.46,7/31/12,8/10/12,8/14/12
5/3/12,Cash,0.455,4/19/12,5/7/12,5/14/12
2/2/12,Cash,0.45,1/27/12,2/6/12,2/14/12
11/7/11,Cash,0.435,10/27/11,11/9/11,11/14/11
8/5/11,Cash,0.4225,7/27/11,8/9/11,8/12/11
5/6/11,Cash,0.4175,4/27/11,5/10/11,5/13/11
2/4/11,Cash,0.4125,1/28/11,2/8/11,2/11/11
11/5/10,Cash,0.39,10/28/10,11/9/10,11/12/10
8/5/10,Cash,0.3825,7/29/10,8/9/10,8/13/10
5/6/10,Cash,0.375,4/28/10,5/10/10,5/14/10
2/5/09,Cash,0.52,1/29/09,2/9/09,2/13/09
11/6/08,Cash,0.52,10/28/08,11/10/08,11/14/08
8/7/08,Cash,0.52,7/31/08,8/11/08,8/14/08
5/7/08,Cash,0.5,4/28/08,5/9/08,5/15/08
2/7/08,Cash,0.4525,1/24/08,2/11/08,2/14/08
11/7/07,Cash,0.4425,10/31/07,11/12/07,11/14/07
8/3/07,Cash,0.4225,7/27/07,8/7/07,8/14/07
5/3/07,Cash,0.4125,4/26/07,5/7/07,5/15/07
2/1/07,Cash,0.399,1/22/07,2/5/07,2/14/07
,,,,,
,,,,,
Read more: http://www.nasdaq.com/symbol/bbep/dividend-history#ixzz3sNgAXicV,,,,,
