Ex/Eff Date	Type	Cash Amount	Declaration Date	Record Date	Payment Date
11/5/2015	Cash	0.04166	10/29/2015	11/9/2015	11/13/2015
10/7/2015	Cash	0.04166	10/1/2015	10/12/2015	10/16/2015
9/3/2015	Cash	0.04166	8/27/2015	9/8/2015	9/11/2015
8/7/2015	Cash	0.04166	7/31/2015	8/11/2015	8/14/2015
7/10/2015	Cash	0.04166	--	7/14/2015	7/17/2015
6/4/2015	Cash	0.04166	5/28/2015	6/8/2015	6/12/2015
5/7/2015	Cash	0.04166	4/24/2015	5/11/2015	5/15/2015
4/9/2015	Cash	0.04166	4/1/2015	4/13/2015	4/17/2015
3/5/2015	Cash	0.0833	2/24/2015	3/9/2015	3/13/2015
2/5/2015	Cash	0.0833	1/27/2015	2/9/2015	2/13/2015
1/9/2015	Cash	0.0833	1/2/2015	1/13/2015	1/16/2015
12/4/2014	Cash	0.1733	11/19/2014	12/8/2014	12/12/2014
11/6/2014	Cash	0.1675	10/29/2014	11/10/2014	11/14/2014
10/8/2014	Cash	0.1675	10/1/2014	10/13/2014	10/16/2014
9/4/2014	Cash	0.1675	8/26/2014	9/8/2014	9/11/2014
8/7/2014	Cash	0.1675	7/30/2014	8/11/2014	8/14/2014
7/9/2014	Cash	0.1675	7/1/2014	7/11/2014	7/16/2014
6/5/2014	Cash	0.1658	5/28/2014	6/9/2014	6/12/2014
5/1/2014	Cash	0.1658	4/24/2014	5/5/2014	5/14/2014
4/9/2014	Cash	0.1658	4/2/2014	4/11/2014	4/16/2014
3/6/2014	Cash	0.1642	2/26/2014	3/10/2014	3/14/2014
2/6/2014	Cash	0.1642	1/30/2014	2/10/2014	2/14/2014
1/9/2014	Cash	0.1642	1/2/2014	1/13/2014	1/16/2014
11/6/2013	Cash	0.4875	10/30/2013	11/11/2013	11/14/2013
8/8/2013	Cash	0.48	7/31/2013	8/12/2013	8/14/2013
5/2/2013	Cash	0.475	4/24/2013	5/6/2013	5/14/2013
2/7/2013	Cash	0.47	1/28/2013	2/11/2013	2/14/2013
11/7/2012	Cash	0.465	10/30/2012	11/9/2012	11/14/2012
8/8/2012	Cash	0.46	7/31/2012	8/10/2012	8/14/2012
5/3/2012	Cash	0.455	4/19/2012	5/7/2012	5/14/2012
2/2/2012	Cash	0.45	1/27/2012	2/6/2012	2/14/2012
11/7/2011	Cash	0.435	10/27/2011	11/9/2011	11/14/2011
8/5/2011	Cash	0.4225	7/27/2011	8/9/2011	8/12/2011
5/6/2011	Cash	0.4175	4/27/2011	5/10/2011	5/13/2011
2/4/2011	Cash	0.4125	1/28/2011	2/8/2011	2/11/2011
11/5/2010	Cash	0.39	10/28/2010	11/9/2010	11/12/2010
8/5/2010	Cash	0.3825	7/29/2010	8/9/2010	8/13/2010
5/6/2010	Cash	0.375	4/28/2010	5/10/2010	5/14/2010
2/5/2009	Cash	0.52	1/29/2009	2/9/2009	2/13/2009
11/6/2008	Cash	0.52	10/28/2008	11/10/2008	11/14/2008
8/7/2008	Cash	0.52	7/31/2008	8/11/2008	8/14/2008
5/7/2008	Cash	0.5	4/28/2008	5/9/2008	5/15/2008
2/7/2008	Cash	0.4525	1/24/2008	2/11/2008	2/14/2008
11/7/2007	Cash	0.4425	10/31/2007	11/12/2007	11/14/2007
8/3/2007	Cash	0.4225	7/27/2007	8/7/2007	8/14/2007
5/3/2007	Cash	0.4125	4/26/2007	5/7/2007	5/15/2007
2/1/2007	Cash	0.399	1/22/2007	2/5/2007	2/14/2007
